i,x,y
90,0.142187,0.142188
91,0.14375,0.14375
92,0.145313,0.145313
93,0.146875,0.146875
94,0.148438,0.148438
95,0.15,0.15
96,0.151563,0.151563
97,0.153125,0.153125
98,0.154688,0.154688
99,0.15625,0.15625
100,0.157813,0.157813
101,0.159375,0.159375
102,0.160938,0.160938
103,0.1625,0.1625
104,0.164062,0.164063
105,0.165625,0.165625
106,0.167188,0.167188
107,0.16875,0.16875
108,0.170313,0.170313
109,0.171875,0.171875
110,0.173438,0.173438
111,0.175,0.175
112,0.176563,0.176563
113,0.178125,0.178125
114,0.179688,0.179688
115,0.18125,0.18125
116,0.182813,0.182813
117,0.184375,0.184375
118,0.185938,0.185938
119,0.1875,0.1875
120,0.189063,0.189063
121,0.190625,0.190625
122,0.192188,0.192188
123,0.19375,0.19375
124,0.195312,0.195313
125,0.196875,0.196875
126,0.198438,0.198438
127,0.2,0.2
128,0.201563,0.201563
129,0.203125,0.203125
130,0.204688,0.204688
131,0.20625,0.20625
132,0.207813,0.207813
133,0.209375,0.209375
134,0.210938,0.210938
135,0.2125,0.2125
136,0.214063,0.214063
137,0.215625,0.215625
138,0.217188,0.217188
139,0.21875,0.21875
140,0.220313,0.220313
141,0.221875,0.221875
142,0.223438,0.223438
143,0.225,0.225
144,0.226562,0.226563
145,0.228125,0.228125
146,0.229688,0.229688
147,0.23125,0.23125
148,0.232813,0.232813
149,0.234375,0.234375
150,0.235938,0.235938
151,0.2375,0.2375
152,0.239063,0.239063
153,0.240625,0.240625
154,0.242188,0.242188
155,0.24375,0.24375
156,0.245313,0.245313
157,0.246875,0.246875
158,0.248438,0.248438
159,0.25,0.25
160,0.251563,0.251563
161,0.253125,0.253125
162,0.254688,0.254688
163,0.25625,0.25625
164,0.257812,0.257813
165,0.259375,0.259375
166,0.260937,0.260938
167,0.2625,0.2625
168,0.264063,0.264063
169,0.265625,0.265625
170,0.267188,0.267188
171,0.26875,0.26875
172,0.270313,0.270313
173,0.271875,0.271875
174,0.273438,0.273438
175,0.275,0.275
176,0.276562,0.276563
177,0.278125,0.278125
178,0.279688,0.279688
179,0.28125,0.28125
180,0.282813,0.282813
181,0.284375,0.284375
182,0.285938,0.285938
183,0.2875,0.2875
184,0.289062,0.289063
185,0.290625,0.290625
186,0.292187,0.292188
187,0.29375,0.29375
188,0.295313,0.295313
189,0.296875,0.296875
190,0.298438,0.298438
191,0.3,0.3
192,0.301563,0.301563
193,0.303125,0.303125
194,0.304688,0.304688
195,0.30625,0.30625
196,0.307813,0.307813
197,0.309375,0.309375
198,0.310938,0.310938
199,0.3125,0.3125
200,0.314063,0.314063
201,0.315625,0.315625
202,0.317188,0.317188
203,0.31875,0.31875
204,0.320312,0.320313
205,0.321875,0.321875
206,0.323438,0.323438
207,0.325,0.325
208,0.326563,0.326563
209,0.328125,0.328125
210,0.329688,0.329688
211,0.33125,0.33125
212,0.332813,0.332813
213,0.334375,0.334375
214,0.335938,0.335938
215,0.3375,0.3375
216,0.339063,0.339063
217,0.340625,0.340625
218,0.342188,0.342188
219,0.34375,0.34375
220,0.345313,0.345313
221,0.346875,0.346875
222,0.348438,0.348438
223,0.35,0.35
224,0.351562,0.351563
225,0.353125,0.353125
226,0.354688,0.354688
227,0.35625,0.35625
228,0.357813,0.357813
229,0.359375,0.359375
230,0.360938,0.360938
231,0.3625,0.3625
232,0.364063,0.364063
233,0.365625,0.365625
234,0.367188,0.367188
235,0.36875,0.36875
236,0.370313,0.370313
237,0.371875,0.371875
238,0.373438,0.373438
239,0.375,0.375
240,0.376563,0.376563
241,0.378125,0.378125
242,0.379688,0.379688
243,0.38125,0.38125
244,0.382812,0.382813
245,0.384375,0.384375
246,0.385938,0.385938
247,0.3875,0.3875
248,0.389063,0.389063
249,0.390625,0.390625
250,0.392188,0.392188
251,0.39375,0.39375
252,0.395313,0.395313
253,0.396875,0.396875
254,0.398438,0.398438
255,0.4,0.4
256,0.401563,0.401563
257,0.403125,0.403125
258,0.404688,0.404688
259,0.40625,0.40625
260,0.407813,0.407813
261,0.409375,0.409375
262,0.410938,0.410938
263,0.4125,0.4125
264,0.414062,0.414063
265,0.415625,0.415625
266,0.417188,0.417188
267,0.41875,0.41875
268,0.420313,0.420313
269,0.421875,0.421875
270,0.423438,0.423438
271,0.425,0.425
272,0.426563,0.426563
273,0.428125,0.428125
274,0.429688,0.429688
275,0.43125,0.43125
276,0.432813,0.432813
277,0.434375,0.434375
278,0.435938,0.435938
279,0.4375,0.4375
280,0.439063,0.439063
281,0.440625,0.440625
282,0.442188,0.442188
283,0.44375,0.44375
284,0.445312,0.445313
285,0.446875,0.446875
286,0.448438,0.448438
287,0.45,0.45
288,0.451563,0.451563
289,0.453125,0.453125
290,0.454688,0.454688
291,0.45625,0.45625
292,0.457813,0.457813
293,0.459375,0.459375
294,0.460938,0.460938
295,0.4625,0.4625
296,0.464063,0.464063
297,0.465625,0.465625
298,0.467188,0.467188
