i,x,y
401,0.628125,0.119423
402,0.629688,0.11928
403,0.63125,0.119134
404,0.632812,0.118986
405,0.634375,0.118835
406,0.635938,0.118681
407,0.6375,0.118525
408,0.639063,0.118366
409,0.640625,0.118204
410,0.642188,0.11804
411,0.64375,0.117872
412,0.645313,0.117702
413,0.646875,0.11753
414,0.648438,0.117355
415,0.65,0.117177
416,0.651563,0.116996
417,0.653125,0.116812
418,0.654688,0.116626
419,0.65625,0.116437
420,0.657813,0.116246
421,0.659375,0.116051
422,0.660938,0.115854
423,0.6625,0.115654
424,0.664062,0.115451
425,0.665625,0.115246
426,0.667188,0.115038
427,0.66875,0.114827
428,0.670313,0.114613
429,0.671875,0.114397
430,0.673438,0.114177
431,0.675,0.113955
432,0.676563,0.11373
433,0.678125,0.113503
434,0.679688,0.113272
435,0.68125,0.113039
436,0.682813,0.112803
437,0.684375,0.112564
438,0.685938,0.112322
439,0.6875,0.112078
440,0.689063,0.11183
441,0.690625,0.11158
442,0.692188,0.111327
443,0.69375,0.111071
444,0.695312,0.110813
445,0.696875,0.110551
446,0.698438,0.110287
447,0.7,0.11002
448,0.701563,0.109749
449,0.703125,0.109476
450,0.704688,0.109201
451,0.70625,0.108922
452,0.707813,0.10864
453,0.709375,0.108356
454,0.710938,0.108068
455,0.7125,0.107778
456,0.714063,0.107485
457,0.715625,0.107189
458,0.717188,0.10689
459,0.71875,0.106588
460,0.720313,0.106283
461,0.721875,0.105976
462,0.723438,0.105665
463,0.725,0.105351
464,0.726562,0.105035
465,0.728125,0.104715
466,0.729688,0.104393
467,0.73125,0.104068
468,0.732813,0.103739
469,0.734375,0.103408
470,0.735938,0.103074
471,0.7375,0.102737
472,0.739063,0.102397
473,0.740625,0.102053
474,0.742188,0.101707
475,0.74375,0.101358
476,0.745313,0.101006
477,0.746875,0.100651
478,0.748438,0.100293
479,0.75,0.099932
480,0.751563,0.099568
481,0.753125,0.0992009
482,0.754688,0.0988308
483,0.75625,0.0984576
484,0.757812,0.0980815
485,0.759375,0.0977023
486,0.760938,0.0973201
487,0.7625,0.0969348
488,0.764063,0.0965465
489,0.765625,0.0961551
490,0.767188,0.0957607
491,0.76875,0.0953633
492,0.770313,0.0949627
