x,y,error
0.0155039,0.0155039,1.17163e-07
0.0232558,0.0155039,1.75657e-07
0.0310078,0.0155039,2.34047e-07
0.0387597,0.0155039,2.92299e-07
0.0465116,0.0155039,3.50377e-07
0.0542636,0.0155039,4.08247e-07
0.0620155,0.0155039,4.65875e-07
0.0697674,0.0155039,5.23227e-07
0.0775194,0.0155039,5.80269e-07
0.0852713,0.0155039,6.36966e-07
0.0930233,0.0155039,6.93286e-07
0.100775,0.0155039,7.49194e-07
0.108527,0.0155039,8.04658e-07
0.116279,0.0155039,8.59645e-07
0.124031,0.0155039,9.14123e-07
0.131783,0.0155039,9.68058e-07
0.139535,0.0155039,1.02142e-06
0.147287,0.0155039,1.07417e-06
0.155039,0.0155039,1.12629e-06
0.162791,0.0155039,1.17774e-06
0.170543,0.0155039,1.22849e-06
0.178295,0.0155039,1.27852e-06
0.186047,0.0155039,1.32778e-06
0.193798,0.0155039,1.37626e-06
0.20155,0.0155039,1.42392e-06
0.209302,0.0155039,1.47074e-06
0.217054,0.0155039,1.51668e-06
0.224806,0.0155039,1.56173e-06
0.232558,0.0155039,1.60585e-06
0.24031,0.0155039,1.64901e-06
0.248062,0.0155039,1.6912e-06
0.255814,0.0155039,1.73239e-06
0.263566,0.0155039,1.77254e-06
0.271318,0.0155039,1.81165e-06
0.27907,0.0155039,1.84968e-06
0.286822,0.0155039,1.88662e-06
0.294574,0.0155039,1.92244e-06
0.302326,0.0155039,1.95711e-06
0.310078,0.0155039,1.99063e-06
0.317829,0.0155039,2.02296e-06
0.325581,0.0155039,2.0541e-06
0.333333,0.0155039,2.08402e-06
0.341085,0.0155039,2.1127e-06
0.348837,0.0155039,2.14013e-06
0.356589,0.0155039,2.16628e-06
0.364341,0.0155039,2.19116e-06
0.372093,0.0155039,2.21473e-06
0.379845,0.0155039,2.237e-06
0.387597,0.0155039,2.25793e-06
0.395349,0.0155039,2.27753e-06
0.403101,0.0155039,2.29577e-06
0.410853,0.0155039,2.31265e-06
0.418605,0.0155039,2.32817e-06
0.426357,0.0155039,2.3423e-06
0.434109,0.0155039,2.35504e-06
0.44186,0.0155039,2.36639e-06
0.449612,0.0155039,2.37633e-06
0.457364,0.0155039,2.38486e-06
0.465116,0.0155039,2.39198e-06
0.472868,0.0155039,2.39768e-06
0.48062,0.0155039,2.40196e-06
0.488372,0.0155039,2.40481e-06
0.496124,0.0155039,2.40624e-06
0.503876,0.0155039,2.40624e-06
0.511628,0.0155039,2.40481e-06
0.51938,0.0155039,2.40196e-06
0.527132,0.0155039,2.39768e-06
0.534884,0.0155039,2.39198e-06
0.542636,0.0155039,2.38486e-06
0.550388,0.0155039,2.37633e-06
0.55814,0.0155039,2.36639e-06
0.565891,0.0155039,2.35504e-06
0.573643,0.0155039,2.3423e-06
0.581395,0.0155039,2.32817e-06
0.589147,0.0155039,2.31265e-06
0.596899,0.0155039,2.29577e-06
0.604651,0.0155039,2.27753e-06
0.612403,0.0155039,2.25793e-06
0.620155,0.0155039,2.237e-06
0.627907,0.0155039,2.21473e-06
0.635659,0.0155039,2.19116e-06
0.643411,0.0155039,2.16628e-06
0.651163,0.0155039,2.14013e-06
0.658915,0.0155039,2.1127e-06
0.666667,0.0155039,2.08402e-06
0.674419,0.0155039,2.0541e-06
0.682171,0.0155039,2.02296e-06
0.689922,0.0155039,1.99063e-06
0.697674,0.0155039,1.95711e-06
0.705426,0.0155039,1.92244e-06
0.713178,0.0155039,1.88662e-06
0.72093,0.0155039,1.84968e-06
0.728682,0.0155039,1.81165e-06
0.736434,0.0155039,1.77254e-06
0.744186,0.0155039,1.73239e-06
0.751938,0.0155039,1.6912e-06
0.75969,0.0155039,1.64901e-06
0.767442,0.0155039,1.60585e-06
0.775194,0.0155039,1.56173e-06
0.782946,0.0155039,1.51668e-06
